Reference;Nom;Categorie;Stock_Quantite;Prix_Unitaire;Valeur_Totale;Hauteur_cm;Diametre_cm;Statut;Date_Creation;Image_Disponible;Quantite_Reservee;Seuil_Alerte
1FILYRS57;"Ficus lyrata";autre;4;63.75;255.00;180;32;OK;21/08/2025;OUI;0;0
1KEFO5T30;"Kentia (Howea) forsteriana";autre;10;48.02;480.20;140;18;OK;21/08/2025;OUI;0;0
1KEFOTU08;"Kentia (Howea) forsteriana";autre;11;121.55;1337.05;160;28;OK;21/08/2025;OUI;0;0
1KEFOTU18;"Kentia (Howea) forsteriana";autre;1;72.25;72.25;120;25;OK;21/08/2025;OUI;0;0
4FILY2T08;"Ficus lyrata";autre;6;34.76;208.56;160;30;OK;21/08/2025;OUI;0;0
4FILY3T10;"Ficus lyrata";autre;4;52.36;209.44;170;34;OK;21/08/2025;OUI;0;0
4FILYR023;"Ficus lyrata";autre;2;51.92;103.84;140;30;OK;21/08/2025;OUI;0;0
4FILYSV51;"Ficus lyrata";autre;1;131.12;131.12;165;38;OK;21/08/2025;OUI;0;0
4STNIT062;"Strelitzia nicolai";autre;1;70.62;70.62;180;27;OK;21/08/2025;OUI;0;0
6ARTBOG29;"Artstone";autre;14;14.7;205.80;29;33;OK;21/08/2025;OUI;0;0
6ARTBOZ29;"Artstone";autre;2;14.7;29.40;29;33;OK;14/08/2025;OUI;0;0
6BRDC115W;"B-round";autre;19;25.5;484.50;31;33;OK;14/08/2025;OUI;0;0
6BST1270X;"B-straight";autre;27;75.65;2042.55;40;29;OK;21/08/2025;OUI;0;0
6BSTC4040;"B-round";autre;9;45.9;413.10;40;40;OK;14/08/2025;OUI;0;0
6BSTD3842;"B-round";autre;7;44.2;309.40;42;38;OK;14/08/2025;OUI;0;0
6CILC4040;"Cylinder";autre;4;54.4;217.60;40;40;OK;21/08/2025;OUI;0;0
6CILGR040;"Cylinder";autre;5;59.5;297.50;40;40;OK;21/08/2025;OUI;0;0
6CILH4040;"Cylinder";autre;3;56.95;170.85;40;40;OK;14/08/2025;OUI;0;0
6DLIAB804;"Argento";autre;2;187.78;375.56;50;50;OK;14/08/2025;OUI;0;0
6DLIAB812;"Argento";autre;14;144.32;2020.48;68;30;OK;14/08/2025;OUI;0;0
6DLIAB967;"Argento";autre;20;94.3;1886.00;64;26;OK;14/08/2025;OUI;0;0
6DLIAW417;"Grigio";autre;2;148.42;296.84;68;30;OK;14/08/2025;OUI;0;0
6DLINC200;"Grigio";autre;1;74.62;74.62;30;0;OK;21/08/2025;OUI;0;0
6FSTBO002;"Natural";autre;10;51;510.00;33;40;OK;14/08/2025;OUI;0;0
6FSTBWJ06;"Cement & Stone";autre;3;40.38;121.14;36;42;OK;21/08/2025;OUI;0;0
6FSTBWJ08;"Cement & Stone";autre;9;68;612.00;45;50;OK;14/08/2025;OUI;0;0
6FSTGWB55;"Fiberstone";autre;5;93.92;469.60;55;40;OK;14/08/2025;OUI;0;0
6FSTGWBO62;"Fiberstone";autre;7;147.05;1029.35;61;48;OK;14/08/2025;OUI;0;0
6FSTGWBU3;"Fiberstone";autre;19;71.4;1356.60;35;40;OK;14/08/2025;OUI;0;0
6FSTGWJE4;"Fiberstone";autre;14;128.78;1802.92;44;50;OK;14/08/2025;OUI;0;0
6FSTMWBO2;"Fiberstone";autre;10;66.3;663.00;45;35;OK;14/08/2025;OUI;0;0
6FSTMWMA2;"Fiberstone";autre;2;42.07;84.14;29;29;OK;21/08/2025;OUI;0;0
6FSTMWMA4;"Fiberstone";autre;6;90.95;545.70;43;43;OK;14/08/2025;OUI;0;0
6FSTRBG03;"Fiberstone";autre;1;77.77;77.77;55;40;OK;14/08/2025;OUI;0;0
6FSTRBOB5;"Fiberstone";autre;1;47.17;47.17;45;35;OK;14/08/2025;OUI;0;0
6FSTRD030;"Fiberstone";autre;4;47.6;190.40;44;34;OK;14/08/2025;OUI;0;0
6FSTRMB30;"Fiberstone";autre;10;31.88;318.80;30;30;OK;21/08/2025;OUI;0;0
6FSTRMB43;"Fiberstone";autre;11;65.02;715.22;43;43;OK;14/08/2025;OUI;0;0
6FSTRMG30;"Fiberstone";autre;3;31.88;95.64;30;30;OK;21/08/2025;OUI;0;0
6FSTSBG40;"Fiberstone";autre;3;70.97;212.91;40;38;OK;21/08/2025;OUI;0;0
6FSTSBG50;"Fiberstone";autre;2;108.38;216.76;50;45;OK;21/08/2025;OUI;0;0
6LIMHUPT6;"Humus";autre;2;89.25;178.50;43;37;OK;21/08/2025;OUI;0;0
6PPNB36BB;"Bohemian";autre;5;44.2;221.00;36;37;OK;14/08/2025;OUI;0;0
6PPNECBXL;"Rough";autre;23;26.77;615.71;31;32;OK;21/08/2025;OUI;0;0
6PPNERC24;"Rough";autre;1;22.95;22.95;28;32;OK;14/08/2025;OUI;0;0
6PTR62356;"Jip";autre;9;9.31;83.79;31;37;OK;14/08/2025;OUI;0;0
